molecule ID,concentration
N-ACETYL-GLUTAMYL-P[i],0.0
HYPOTAURINE[n],0.0
HYPOTAURINE[j],0.0
HYPOTAURINE[w],0.0
HYPOTAURINE[c],0.0
HYPOTAURINE[e],0.0
HYPOTAURINE[m],0.0
HYPOTAURINE[o],0.0
HYPOTAURINE[p],0.0
HYPOTAURINE[l],0.0
HYPOTAURINE[i],0.0
CPD-683[n],0.0
CPD-683[j],0.0
CPD-683[w],0.0
CPD-683[c],0.0
CPD-683[e],0.0
CPD-683[m],0.0
CPD-683[o],0.0
CPD-683[p],0.0
CPD-683[l],0.0
CPD-683[i],0.0
CPD1G-159[n],0.0
CPD1G-159[j],0.0
CPD1G-159[w],0.0
CPD1G-159[c],0.0
CPD1G-159[e],0.0
CPD1G-159[m],0.0
CPD1G-159[o],0.0
CPD1G-159[p],0.0
CPD1G-159[l],0.0
CPD1G-159[i],0.0
CPD-3711[n],0.0
CPD-3711[j],0.0
CPD-3711[w],0.0
CPD-3711[c],0.0
CPD-3711[e],0.0
CPD-3711[m],0.0
CPD-3711[o],0.0
CPD-3711[p],0.0
CPD-3711[l],0.0
CPD-3711[i],0.0
CPD-3710[n],0.0
CPD-3710[j],0.0
CPD-3710[w],0.0
CPD-3710[c],0.0
CPD-3710[e],0.0
CPD-3710[m],0.0
CPD-3710[o],0.0
CPD-3710[p],0.0
CPD-3710[l],0.0
CPD-3710[i],0.0
CPD-3713[n],0.0
CPD-3713[j],0.0
CPD-3713[w],0.0
CPD-3713[c],0.0
CPD-3713[e],0.0
CPD-3713[m],0.0
CPD-3713[o],0.0
CPD-3713[p],0.0
CPD-3713[l],0.0
CPD-3713[i],0.0
CPD-111[n],0.0
CPD-111[j],0.0
CPD-111[w],0.0
CPD-111[c],0.0
CPD-111[e],0.0
CPD-111[m],0.0
CPD-111[o],0.0
CPD-111[p],0.0
CPD-111[l],0.0
CPD-111[i],0.0
CPD-110[n],0.0
CPD-110[j],0.0
CPD-110[w],0.0
CPD-110[c],0.0
CPD-110[e],0.0
CPD-110[m],0.0
CPD-110[o],0.0
CPD-110[p],0.0
CPD-110[l],0.0
CPD-110[i],0.0
CPD-8524[n],0.0
CPD-8524[j],0.0
CPD-8524[w],0.0
CPD-8524[c],0.0
CPD-8524[e],0.0
CPD-8524[m],0.0
CPD-8524[o],0.0
CPD-8524[p],0.0
CPD-8524[l],0.0
CPD-8524[i],0.0
CPD-9038[n],0.0
CPD-9038[j],0.0
CPD-9038[w],0.0
CPD-9038[c],0.0
CPD-9038[e],0.0
CPD-9038[m],0.0
CPD-9038[o],0.0
CPD-9038[p],0.0
CPD-9038[l],0.0
CPD-9038[i],0.0
2-METHYLMALEATE[n],0.0
2-METHYLMALEATE[j],0.0
2-METHYLMALEATE[w],0.0
2-METHYLMALEATE[c],0.0
2-METHYLMALEATE[e],0.0
2-METHYLMALEATE[m],0.0
2-METHYLMALEATE[o],0.0
2-METHYLMALEATE[p],0.0
2-METHYLMALEATE[l],0.0
2-METHYLMALEATE[i],0.0
CPD-9037[n],0.0
CPD-9037[j],0.0
CPD-9037[w],0.0
CPD-9037[c],0.0
CPD-9037[e],0.0
CPD-9037[m],0.0
CPD-9037[o],0.0
CPD-9037[p],0.0
CPD-9037[l],0.0
CPD-9037[i],0.0
CPD-9035[n],0.0
CPD-9035[j],0.0
CPD-9035[w],0.0
CPD-9035[c],0.0
CPD-9035[e],0.0
CPD-9035[m],0.0
CPD-9035[o],0.0
CPD-9035[p],0.0
CPD-9035[l],0.0
CPD-9035[i],0.0
GDP-GROUP[n],0.0
GDP-GROUP[j],0.0
GDP-GROUP[w],0.0
GDP-GROUP[c],0.0
GDP-GROUP[e],0.0
GDP-GROUP[m],0.0
GDP-GROUP[o],0.0
GDP-GROUP[p],0.0
GDP-GROUP[l],0.0
GDP-GROUP[i],0.0
10-FORMYL-THF[n],0.0
10-FORMYL-THF[j],0.0
10-FORMYL-THF[w],0.0
10-FORMYL-THF[c],0.0
10-FORMYL-THF[e],0.0
10-FORMYL-THF[m],0.0
10-FORMYL-THF[o],0.0
10-FORMYL-THF[p],0.0
10-FORMYL-THF[l],0.0
10-FORMYL-THF[i],0.0
AG+[n],0.0
AG+[j],0.0
AG+[w],0.0
AG+[c],0.0
AG+[e],0.0
AG+[m],0.0
AG+[o],0.0
AG+[p],0.0
AG+[l],0.0
AG+[i],0.0
ACRYLYL-COA[n],0.0
ACRYLYL-COA[j],0.0
ACRYLYL-COA[w],0.0
ACRYLYL-COA[c],0.0
ACRYLYL-COA[e],0.0
ACRYLYL-COA[m],0.0
ACRYLYL-COA[o],0.0
ACRYLYL-COA[p],0.0
ACRYLYL-COA[l],0.0
ACRYLYL-COA[i],0.0
CPD-12796[n],0.0
CPD-12796[j],0.0
CPD-12796[w],0.0
CPD-12796[c],0.0
CPD-12796[e],0.0
CPD-12796[m],0.0
CPD-12796[o],0.0
CPD-12796[p],0.0
CPD-12796[l],0.0
CPD-12796[i],0.0
PQQ[n],0.0
PQQ[j],0.0
PQQ[w],0.0
PQQ[c],0.0
PQQ[e],0.0
PQQ[m],0.0
PQQ[o],0.0
PQQ[p],0.0
PQQ[l],0.0
PQQ[i],0.0
CPD0-1889[n],0.0
CPD0-1889[j],0.0
CPD0-1889[w],0.0
CPD0-1889[c],0.0
CPD0-1889[e],0.0
CPD0-1889[m],0.0
CPD0-1889[o],0.0
CPD0-1889[p],0.0
CPD0-1889[l],0.0
